n,Cost,Algorithm
2,80.0,Gurobi
2,5.0,Gurobi
2,32.0,Gurobi
2,58.0,Gurobi
2,212.0,Gurobi
2,84.0,Gurobi
2,121.0,Gurobi
2,114.0,Gurobi
2,55.0,Gurobi
2,82.0,Gurobi
2,71.0,Gurobi
2,9.0,Gurobi
2,40.0,Gurobi
2,96.0,Gurobi
2,26.0,Gurobi
2,85.0,Gurobi
2,12.0,Gurobi
2,108.0,Gurobi
2,142.0,Gurobi
2,7.0,Gurobi
2,182.0,Gurobi
2,29.0,Gurobi
2,12.0,Gurobi
2,12.0,Gurobi
2,155.0,Gurobi
3,86.0,Gurobi
3,94.0,Gurobi
3,80.0,Gurobi
3,146.0,Gurobi
3,45.0,Gurobi
3,12.0,Gurobi
3,93.0,Gurobi
3,80.0,Gurobi
3,53.0,Gurobi
3,31.0,Gurobi
3,10.0,Gurobi
3,68.0,Gurobi
3,124.0,Gurobi
3,25.0,Gurobi
3,117.0,Gurobi
3,51.0,Gurobi
3,15.0,Gurobi
3,34.0,Gurobi
3,24.0,Gurobi
3,175.0,Gurobi
3,31.0,Gurobi
3,26.0,Gurobi
3,16.0,Gurobi
3,62.0,Gurobi
3,46.0,Gurobi
4,111.0,Gurobi
4,0.0,Gurobi
4,55.0,Gurobi
4,34.0,Gurobi
4,64.0,Gurobi
4,5.0,Gurobi
4,9.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,170.0,Gurobi
4,59.0,Gurobi
4,7.0,Gurobi
4,8.0,Gurobi
4,17.0,Gurobi
4,5.0,Gurobi
4,49.0,Gurobi
4,14.0,Gurobi
4,27.0,Gurobi
4,100.0,Gurobi
4,11.0,Gurobi
4,11.0,Gurobi
4,2.0,Gurobi
4,46.0,Gurobi
4,51.0,Gurobi
4,16.0,Gurobi
5,7.0,Gurobi
5,104.0,Gurobi
5,34.0,Gurobi
5,58.0,Gurobi
5,7.0,Gurobi
5,14.0,Gurobi
5,43.0,Gurobi
5,11.0,Gurobi
5,51.0,Gurobi
5,59.0,Gurobi
5,5.0,Gurobi
5,4.0,Gurobi
5,4.0,Gurobi
5,54.0,Gurobi
5,102.0,Gurobi
5,10.0,Gurobi
5,8.0,Gurobi
5,25.0,Gurobi
5,42.0,Gurobi
5,10.0,Gurobi
5,0.0,Gurobi
5,25.0,Gurobi
5,60.0,Gurobi
5,15.0,Gurobi
5,24.0,Gurobi
6,24.0,Gurobi
6,1.0,Gurobi
6,46.0,Gurobi
6,9.0,Gurobi
6,26.0,Gurobi
6,6.0,Gurobi
6,2.0,Gurobi
6,35.0,Gurobi
6,19.0,Gurobi
6,11.0,Gurobi
6,2.0,Gurobi
6,26.0,Gurobi
6,8.0,Gurobi
6,11.0,Gurobi
6,2.0,Gurobi
6,21.0,Gurobi
6,9.0,Gurobi
6,9.0,Gurobi
6,21.0,Gurobi
6,4.0,Gurobi
6,27.0,Gurobi
6,11.0,Gurobi
6,29.0,Gurobi
6,30.0,Gurobi
6,4.0,Gurobi
7,4.0,Gurobi
7,3.0,Gurobi
7,25.0,Gurobi
7,8.0,Gurobi
7,2.0,Gurobi
7,4.0,Gurobi
7,6.0,Gurobi
7,17.0,Gurobi
7,2.0,Gurobi
7,3.0,Gurobi
7,1.0,Gurobi
7,9.0,Gurobi
7,7.0,Gurobi
7,0.0,Gurobi
7,17.0,Gurobi
7,14.0,Gurobi
7,20.0,Gurobi
7,18.0,Gurobi
7,1.0,Gurobi
7,2.0,Gurobi
7,2.0,Gurobi
7,5.0,Gurobi
7,2.0,Gurobi
7,2.0,Gurobi
7,15.0,Gurobi
8,1.0,Gurobi
8,7.0,Gurobi
8,2.0,Gurobi
8,1.0,Gurobi
8,1.0,Gurobi
8,7.0,Gurobi
8,3.0,Gurobi
8,0.0,Gurobi
8,6.0,Gurobi
8,0.0,Gurobi
8,4.0,Gurobi
8,1.0,Gurobi
8,5.0,Gurobi
8,21.0,Gurobi
8,3.0,Gurobi
8,1.0,Gurobi
8,7.0,Gurobi
8,5.0,Gurobi
8,1.0,Gurobi
8,5.0,Gurobi
8,6.0,Gurobi
8,0.0,Gurobi
8,4.0,Gurobi
8,6.0,Gurobi
8,4.0,Gurobi
9,1.0,Gurobi
9,1.0,Gurobi
9,1.0,Gurobi
9,7.0,Gurobi
9,0.0,Gurobi
9,0.0,Gurobi
9,1.0,Gurobi
9,2.0,Gurobi
9,2.0,Gurobi
9,12.0,Gurobi
9,2.0,Gurobi
9,5.0,Gurobi
9,2.0,Gurobi
9,2.0,Gurobi
9,6.0,Gurobi
9,0.0,Gurobi
9,1.0,Gurobi
9,1.0,Gurobi
9,2.0,Gurobi
9,4.0,Gurobi
9,7.0,Gurobi
9,3.0,Gurobi
9,0.0,Gurobi
9,2.0,Gurobi
9,1.0,Gurobi
10,2.0,Gurobi
10,1.0,Gurobi
10,0.0,Gurobi
10,2.0,Gurobi
10,1.0,Gurobi
10,1.0,Gurobi
10,2.0,Gurobi
10,3.0,Gurobi
10,3.0,Gurobi
10,1.0,Gurobi
10,3.0,Gurobi
10,5.0,Gurobi
10,8.0,Gurobi
10,0.0,Gurobi
10,5.0,Gurobi
10,2.0,Gurobi
10,1.0,Gurobi
10,0.0,Gurobi
10,1.0,Gurobi
10,0.0,Gurobi
10,1.0,Gurobi
10,2.0,Gurobi
10,0.0,Gurobi
10,1.0,Gurobi
10,1.0,Gurobi
11,0.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
11,0.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
11,4.0,Gurobi
11,2.0,Gurobi
11,0.0,Gurobi
11,0.0,Gurobi
11,0.0,Gurobi
11,2.0,Gurobi
11,0.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
11,0.0,Gurobi
11,0.0,Gurobi
11,0.0,Gurobi
11,0.0,Gurobi
11,0.0,Gurobi
11,2.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
12,1.0,Gurobi
