m,Cost,Algorithm
2,1.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,0.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,1.0,Gurobi
2,0.0,Gurobi
2,0.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,0.0,Gurobi
3,0.0,Gurobi
3,0.0,Gurobi
3,0.0,Gurobi
3,0.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,0.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,0.0,Gurobi
3,0.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,0.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
3,1.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,1.0,Gurobi
4,2.0,Gurobi
4,0.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,0.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,0.0,Gurobi
4,0.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
4,1.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,0.0,Gurobi
5,0.0,Gurobi
5,1.0,Gurobi
5,0.0,Gurobi
5,0.0,Gurobi
5,0.0,Gurobi
5,0.0,Gurobi
5,0.0,Gurobi
5,0.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,0.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,0.0,Gurobi
5,1.0,Gurobi
5,1.0,Gurobi
5,0.0,Gurobi
6,0.0,Gurobi
6,1.0,Gurobi
6,0.0,Gurobi
6,0.0,Gurobi
6,0.0,Gurobi
6,0.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,0.0,Gurobi
6,0.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,0.0,Gurobi
6,0.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,0.0,Gurobi
6,0.0,Gurobi
6,1.0,Gurobi
6,1.0,Gurobi
6,2.0,Gurobi
7,0.0,Gurobi
7,0.0,Gurobi
7,2.0,Gurobi
7,1.0,Gurobi
7,1.0,Gurobi
7,0.0,Gurobi
7,0.0,Gurobi
7,0.0,Gurobi
7,0.0,Gurobi
7,3.0,Gurobi
7,0.0,Gurobi
7,1.0,Gurobi
7,1.0,Gurobi
7,0.0,Gurobi
7,1.0,Gurobi
7,0.0,Gurobi
7,0.0,Gurobi
7,1.0,Gurobi
7,1.0,Gurobi
7,1.0,Gurobi
7,1.0,Gurobi
7,0.0,Gurobi
7,0.0,Gurobi
7,1.0,Gurobi
7,1.0,Gurobi
8,1.0,Gurobi
8,0.0,Gurobi
8,0.0,Gurobi
8,0.0,Gurobi
8,0.0,Gurobi
8,4.0,Gurobi
8,0.0,Gurobi
8,1.0,Gurobi
8,1.0,Gurobi
8,2.0,Gurobi
8,1.0,Gurobi
8,1.0,Gurobi
8,0.0,Gurobi
8,0.0,Gurobi
8,0.0,Gurobi
8,3.0,Gurobi
8,2.0,Gurobi
8,1.0,Gurobi
8,1.0,Gurobi
8,3.0,Gurobi
8,1.0,Gurobi
8,0.0,Gurobi
8,1.0,Gurobi
8,1.0,Gurobi
8,1.0,Gurobi
9,1.0,Gurobi
9,2.0,Gurobi
9,2.0,Gurobi
9,3.0,Gurobi
9,2.0,Gurobi
9,2.0,Gurobi
9,2.0,Gurobi
9,0.0,Gurobi
9,3.0,Gurobi
9,3.0,Gurobi
9,2.0,Gurobi
9,1.0,Gurobi
9,4.0,Gurobi
9,2.0,Gurobi
9,0.0,Gurobi
9,0.0,Gurobi
9,2.0,Gurobi
9,20.0,Gurobi
9,4.0,Gurobi
9,1.0,Gurobi
9,0.0,Gurobi
9,1.0,Gurobi
9,11.0,Gurobi
9,0.0,Gurobi
9,13.0,Gurobi
10,20.0,Gurobi
10,5.0,Gurobi
10,0.0,Gurobi
10,3.0,Gurobi
10,5.0,Gurobi
10,3.0,Gurobi
10,3.0,Gurobi
10,1.0,Gurobi
10,7.0,Gurobi
10,3.0,Gurobi
10,9.0,Gurobi
